회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야,인원_추가사항,연령_추가사항,급여_추가사항,급여형태,급여금액,근무기간_추가사항,근무요일_추가사항,근무시간_추가사항
바른원고,재택근무/초보가능 블로그 원고작성,상시모집,00명,무관,무관,무관,유사업무 경험,"['건별', '4,000원', '초보 2,000자 당 4,000원 월급제']",1년이상,요일협의,시간협의,"문서작성·자료조사,마케팅·광고·홍보 초보가능",알바,없음,없음,"인원미정,친구",없음,"초보 2,000자 당 4,000원 월급제",건별,"4,000원",협의가능,없음,없음
마니또,쇼핑몰 업로딩 재택근무 입니다. 엑셀과 노트북 필수,상시모집,1명,무관,무관,무관,컴퓨터활용가능,"['시급', '9,160원', '협의가능']",6개월~1년,요일협의,시간협의,"데이터수집·가공,사무보조 초보가능",알바,없음,없음,없음,없음,협의가능,시급,"9,160원",협의가능,(주 5일),(매일 일정한 시간이면 좋겠습니다.)
태산을 만드는 사람들,부담없이 일하실 프리랜서 모집합니다,2022.12.18,7명,무관,무관,무관,"운전가능, 차량소지, 유사업무 경험","['연봉', '22,800,000원', '협의가능']",6개월~1년,주1일,10:00~11:30,"텔레마케팅·아웃바운드,오프라인영업·판매 초보가능","정규직, 위촉직(프리랜서)","국민연금, 고용보험, 산재보험, 건강보험, 인센티브제",없음,친구,장년가능,협의가능,연봉,"22,800,000원",없음,(수),없음
하나세무회계,"세무상담 섭외TM 사원 구인. 재택가능, 경력직선호, 전화X, 문자문의O",상시모집,1명,무관,무관,무관,유사업무 경험,"['시급', '11,000원', '인센티브 별도 ( 계약시 100%~150% )']",1년이상,월~금,10:00~15:30,텔레마케팅·아웃바운드,정규직,없음,없음,없음,없음,인센티브 별도 ( 계약시 100%~150% ),시급,"11,000원",없음,없음,없음
커피빈코리아 테헤란로 비젼타워점,커피빈 테헤란로비젼타워점 5H 슈퍼바이저 채용,상시모집,1명,무관,무관,고등학교 졸업 이상,없음,"['월급', '1,249,960원', '단, 만 3개월 이상 근무시']",6개월~1년,월~금,08:00~13:30,커피전문점,정규직,"국민연금, 건강보험, 산재보험, 고용보험, 연차, 퇴직금, 휴일근로수당",없음,없음,없음,"단, 만 3개월 이상 근무시",월급,"1,249,960원",없음,없음,없음
베또컴퍼니,센스있는 PPT 디자이너 [프리랜서]님 모십니다.,상시모집,00명,무관,무관,무관,"파워포인트가능, 포토샵가능, 컴퓨터활용가능","['건별', '6,000원', '협의가능']",1년이상,요일협의,시간협의,"디자인 기타,웹·모바일디자인,그래픽·영상·편집디자인",위촉직(프리랜서),없음,"디자이너, 프리랜서",인원미정,없음,협의가능,건별,"6,000원",협의가능,없음,없음
㈜한우리컴퍼니,출근없이 전화면접후 재택근무가능 투잡 쓰리잡 전국어디서나 가능,상시모집,00명,무관,무관,무관,유사업무 경험,"['건별', '250,000원', '협의가능']",1년이상,요일협의,시간협의,"텔레마케팅·아웃바운드,오프라인영업·판매,영업관리·지원","계약직, 위촉직(프리랜서)",없음,없음,인원미정,없음,협의가능,건별,"250,000원",없음,없음,없음
㈜애드DS,"맛집, 핫플 블로그 원고 작성자 모집 (재택알바)",2022.12.09,00명,무관,무관,무관,유사업무 경험,"['월급', '350,000원', '협의가능', '상호협의, 건별(글자당 3원으로 진행) 건당 2000자 기준 월 최소 350000-400000만원.']",3개월~6개월,요일협의,시간협의,문서작성·자료조사,알바,없음,없음,인원미정,없음,"협의가능,상호협의, 건별(글자당 3원으로 진행) 건당 2000자 기준 월 최소 350000-400000만원.",월급,"350,000원",협의가능,없음,(상호협의/재택근무)
찌마켓,(재택근무 가능) 온라인쇼핑몰 상세페이지 제작,상시모집,1명,무관,무관,무관,없음,"['시급', '10,000원']",하루(1일),요일협의,시간협의,웹·모바일디자인,알바,없음,없음,없음,없음,없음,시급,"10,000원",없음,없음,없음
달기나라 주식회사,"패션 MD 및 웹디 경력 모집 (3년 이상, 재택/원격 근무)",상시모집,2명,무관,무관,무관,"컴퓨터활용가능, 포토샵가능, 군필자, 엑셀가능, 업무 관련 자격증 소지, 유사업무 경험","['시급', '10,000원', '수습기간있음', '알바 시급 월말 지급, 프리랜서 건별 계약 지급']",1년이상,요일협의,시간협의,"MD·쇼핑몰운영,웹·모바일디자인","알바, 위촉직(프리랜서)","산재보험, 고용보험, 퇴직금","패션 웹디, 패션 MD",없음,없음,"수습기간있음,알바 시급 월말 지급, 프리랜서 건별 계약 지급",시급,"10,000원",없음,"(근로자 원하는 요일과 시간으로 협의 (재택, 주 14시간))",(근로자 원하는 요일과 시간으로 제시 (재택))
주식회사 인컨설팅,"법률 디자인 SNS 인스타툰 캐릭터 작가 모집 (재택알바, 부업, 투잡)",2022.12.18,1명,무관,무관,무관,"포토샵가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '70,000원']",6개월~1년,요일협의,시간협의,캐릭터·애니메이션디자인,알바,없음,없음,없음,없음,없음,건별,"70,000원",없음,(협의 후 결정),(협의 후 결정)
